epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,3.030356,2.076363,0.07318061,1.7492536,1.2948285,0.29454112,1.7307055,1.2942561,0.29362926
2,1.71654,1.2273005,0.47592637,1.7545375,1.2746366,0.297398,1.705531,1.286106,0.29016063
3,1.6416843,1.1493094,0.55676126,1.7629371,1.2607452,0.2826332,1.7368933,1.3106252,0.28830963
4,1.5698628,1.059247,0.57610315,1.7726041,1.2695612,0.32904384,1.7383292,1.3019508,0.32090482
5,1.4433372,0.96087456,0.6595,1.7260852,1.2439479,0.38800964,1.7394985,1.3114034,0.30452833
6,1.3041866,0.85529244,0.7359621,1.7364526,1.2270838,0.37671146,1.6831582,1.2676059,0.3541508
7,1.1954141,0.7842999,0.7794188,1.7810885,1.2924496,0.36260962,1.7116501,1.304496,0.3309729
8,1.0604571,0.6935283,0.8270988,1.676691,1.2261796,0.44188932,1.703712,1.2996821,0.32308325
9,0.9989797,0.63693845,0.8478967,1.6343998,1.1847976,0.46423307,1.7141964,1.2724687,0.31989834
10,0.93767047,0.5974869,0.86754847,1.6750413,1.1880202,0.42955577,1.7078713,1.2818528,0.325523
11,0.8549347,0.53743917,0.8941283,1.6976405,1.2509595,0.42714864,1.6920987,1.2631161,0.30840397
12,0.8136667,0.50677425,0.906817,1.6553597,1.2151037,0.45369193,1.6933836,1.2611791,0.32469416
13,0.73691404,0.47125384,0.9203841,1.6261697,1.1922585,0.47379357,1.6958897,1.2658019,0.32500413
14,0.70556927,0.44248456,0.929357,1.6013838,1.1720304,0.48939753,1.7064884,1.2856805,0.32108632
15,0.62770873,0.41341412,0.9434627,1.5999211,1.170752,0.48515955,1.7027056,1.2839278,0.33043647
16,0.58004,0.37840462,0.9529941,1.6246793,1.1956981,0.48988688,1.7217449,1.2839074,0.33072582
17,0.5836462,0.38632682,0.95122784,1.6259539,1.1748706,0.44774678,1.7075531,1.2745055,0.32302412
18,0.56200343,0.38556525,0.9552562,1.613459,1.1840266,0.46486968,1.7115899,1.2853715,0.3266613
19,0.5287583,0.3598435,0.9609181,1.6091732,1.1950215,0.4873998,1.6946464,1.2574242,0.32994086
20,0.47395277,0.3283859,0.967689,1.621421,1.196069,0.48873892,1.7171171,1.2673798,0.30038732
