epoch,train_db_s1413_r_rmse,train_db_s1413_r_mae,train_db_s1413_r_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.925145,1.3375915,0.22535439,1.6233169,1.1761754,0.4380502,1.6052792,1.1811725,0.41322285
2,1.5884197,1.0626966,0.54099095,1.5630307,1.1421132,0.51486295,1.5441525,1.1176375,0.45704943
3,1.475969,0.9502095,0.6363259,1.5550348,1.1411203,0.53024447,1.5268931,1.1052761,0.465599
4,1.3615187,0.8555357,0.6989736,1.4767382,1.0838469,0.5516043,1.4904431,1.0712959,0.46871746
5,1.2964187,0.827071,0.7345274,1.5592906,1.1382633,0.5280722,1.5182945,1.1048664,0.48694447
6,1.1687446,0.7275507,0.7958676,1.5758908,1.1514655,0.5410257,1.5352484,1.1210673,0.47535577
7,1.0694237,0.65658915,0.8293402,1.5400375,1.1128699,0.55586505,1.5051908,1.0936517,0.49193048
8,1.0179837,0.6207991,0.8442314,1.5302315,1.1054164,0.55900264,1.5072423,1.0957931,0.48930418
9,0.9527521,0.58124435,0.8630422,1.4791409,1.078452,0.5647155,1.4871607,1.0781518,0.4813776
10,0.9208771,0.5564918,0.87360704,1.4939874,1.0883913,0.5542363,1.4938248,1.0813783,0.47280273
11,0.8901414,0.547824,0.88411176,1.5016809,1.0977566,0.55871916,1.5127057,1.098496,0.46380904
12,0.85469,0.5138865,0.8962193,1.5118676,1.1032702,0.54869753,1.4977037,1.0832691,0.47135103
13,0.80707204,0.49678662,0.90356106,1.4879756,1.0821906,0.55627126,1.486318,1.0629567,0.4677141
14,0.7730535,0.47013742,0.9140045,1.5031971,1.085648,0.556681,1.5004578,1.0820965,0.46232644
15,0.7581445,0.46016493,0.91561395,1.5085647,1.0886513,0.54644734,1.5087571,1.095083,0.4642393
