epoch,train_db_s1465_rmse,train_db_s1465_mae,train_db_s1465_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.7732317,1.2083216,0.36388174,1.476751,1.1014227,0.5212929,1.5728512,1.1225365,0.34135017
2,1.5560527,0.9888488,0.574919,1.4702166,1.0560329,0.50689244,1.4777172,1.0521802,0.44248945
3,1.373671,0.84721845,0.6898646,1.4014289,1.0265768,0.5081143,1.4703192,1.0398388,0.4563859
4,1.165296,0.73001397,0.7872941,1.407083,1.0407258,0.48482528,1.4519173,1.0371346,0.47590747
5,1.0535375,0.6562676,0.83145386,1.3766567,1.0210809,0.51755863,1.460296,1.0412649,0.4680764
6,0.8953408,0.56458694,0.8837423,1.4359711,1.0450352,0.46050394,1.4756126,1.0629414,0.45525694
7,0.85493577,0.5447394,0.89225775,1.4356828,1.0565751,0.46305794,1.4904553,1.0741062,0.4461821
8,0.76548344,0.47545582,0.9141473,1.3813862,1.0107135,0.5219876,1.4491037,1.0303477,0.47282484
9,0.7787394,0.46944913,0.9115841,1.4177535,1.0431551,0.48575214,1.4452296,1.0336888,0.47512662
10,0.70478785,0.41187128,0.9282116,1.4225321,1.0327702,0.5019533,1.4574172,1.0349749,0.46046963
11,0.68419635,0.38678384,0.93175864,1.4460843,1.0479858,0.47457385,1.4917282,1.0607924,0.42257372
12,0.63301855,0.37992266,0.94283676,1.4581336,1.060581,0.444488,1.4814842,1.0571643,0.43651572
13,0.48825678,0.31050664,0.966237,1.4652045,1.0767902,0.4379867,1.4608527,1.0367979,0.45408514
