epoch,train_db_s155329_rmse,train_db_s155329_mae,train_db_s155329_corr,val_db_s1030_rmse,val_db_s1030_mae,val_db_s1030_corr,test_db_ssym_rmse,test_db_s669_rmse,test_db_s669_-4_2_rmse,test_db_ssym_mae,test_db_s669_mae,test_db_s669_-4_2_mae,test_db_ssym_corr,test_db_s669_corr,test_db_s669_-4_2_corr
1,0.53415006,0.35756043,0.8667176,1.8889399,1.2581373,0.4016925,1.4486926,1.4675031,1.089505,1.0412283,1.0160022,0.8177742,0.5193861,0.49125752,0.5583864
2,0.36276338,0.24635856,0.9404444,1.8877751,1.2590379,0.399763,1.4478278,1.4663764,1.0908555,1.041303,1.0149132,0.8180364,0.52578235,0.49058583,0.5538711
3,0.31176472,0.20940563,0.9563623,1.8896289,1.2576361,0.4047123,1.4562187,1.4777142,1.1028855,1.0447723,1.0244522,0.82721156,0.5389969,0.4873811,0.5522289
4,0.27649173,0.18538833,0.96584284,1.8872511,1.2571908,0.40373334,1.4549589,1.4650476,1.0888546,1.0449376,1.0121864,0.8160454,0.5167792,0.49503317,0.5610438
5,0.24960306,0.1670952,0.972254,1.8822821,1.2536747,0.41310254,1.4602852,1.4784521,1.0936204,1.0451883,1.0259337,0.8249092,0.5280775,0.48577413,0.56339484
6,0.22761914,0.15248297,0.97698337,1.8994652,1.2702341,0.40247422,1.4769342,1.4845134,1.1035839,1.0622848,1.0318062,0.83346903,0.5242686,0.48477718,0.55841154
7,0.21210256,0.14148888,0.98004055,1.8992462,1.2767433,0.4114862,1.4899765,1.4926213,1.1149033,1.0740794,1.0432599,0.8436001,0.5236204,0.48600113,0.55652636
8,0.19735877,0.13205129,0.9827473,1.8981569,1.2688619,0.40442523,1.4902953,1.4835218,1.1032073,1.0736681,1.0331854,0.8342136,0.51952165,0.4874062,0.5587619
9,0.18430026,0.123766914,0.984971,1.9086894,1.2814248,0.40562192,1.5070126,1.4979731,1.117784,1.0885116,1.0489656,0.8477109,0.51953566,0.48253024,0.5564875
10,0.17520104,0.11734627,0.98642737,1.9113438,1.2837003,0.4100146,1.5279423,1.5006039,1.1258367,1.1127362,1.0550247,0.85608864,0.49323186,0.48593268,0.55347687
