epoch,train_db_s157479_rmse,train_db_s157479_mae,train_db_s157479_corr,val_db_s1082_rmse,val_db_s1082_mae,val_db_s1082_corr,test_db_s669_rmse,test_db_ssym_rmse,test_db_s669_mae,test_db_ssym_mae,test_db_s669_corr,test_db_ssym_corr
1,1.0427004,0.72755194,0.4334766,1.9241439,1.2985932,0.39505833,1.5426699,1.5305743,1.118464,1.0967093,0.44057664,0.42204872
2,0.8640852,0.61309093,0.6097583,1.8940324,1.270526,0.41629156,1.500208,1.4993166,1.0728006,1.075287,0.47796533,0.4930191
3,0.828911,0.585572,0.644097,1.8888776,1.2657676,0.42137513,1.487885,1.4953306,1.0581682,1.0698601,0.49222016,0.52454543
4,0.81132615,0.57144,0.6611242,1.888809,1.2657417,0.42305693,1.4855808,1.4941646,1.0537183,1.0680281,0.49635953,0.5426727
5,0.7998736,0.5625067,0.6721337,1.8884227,1.2651345,0.4248926,1.4826475,1.4942867,1.0491369,1.0669656,0.50052744,0.5549069
6,0.79114735,0.55558825,0.6804786,1.8854232,1.2621136,0.4267345,1.4776818,1.4900348,1.0433866,1.0644528,0.5036857,0.56401205
7,0.78405786,0.54994994,0.6870073,1.8856003,1.2625645,0.4273011,1.4774503,1.488014,1.0431607,1.0632178,0.5050838,0.5702022
8,0.7775669,0.5449119,0.6929991,1.8847129,1.2617705,0.42836276,1.4760826,1.4856782,1.0415497,1.0624483,0.5060461,0.57467395
9,0.7722743,0.5408914,0.69774497,1.8841507,1.2609749,0.42867833,1.4746351,1.4843425,1.0396587,1.0621997,0.5069616,0.5769954
10,0.7673723,0.5371148,0.7022422,1.8835776,1.2599057,0.42822307,1.4726825,1.4811037,1.0381945,1.0598961,0.5074141,0.5789819
11,0.76276803,0.53347343,0.70635164,1.8829719,1.2594215,0.42876372,1.4720789,1.478494,1.0378625,1.0586501,0.50839084,0.5817556
12,0.7586631,0.5303156,0.7099692,1.8811548,1.2568595,0.4296118,1.4707929,1.4734434,1.036389,1.0551251,0.5076781,0.58244735
13,0.7549752,0.5272047,0.7133023,1.8810143,1.2569245,0.42988843,1.4707339,1.4729726,1.0362604,1.0552162,0.507748,0.58504456
14,0.751694,0.5246828,0.7162474,1.880262,1.2558172,0.42977878,1.4694768,1.4704226,1.0352578,1.0536231,0.50844806,0.5855491
15,0.7482128,0.5221793,0.71911836,1.8802652,1.2555532,0.42975715,1.4700179,1.469698,1.0354253,1.0536581,0.5076887,0.5859026
16,0.74514216,0.5196636,0.7218906,1.878366,1.2533714,0.43035597,1.4673972,1.4663497,1.0332627,1.0508125,0.5084182,0.5864334
17,0.7423478,0.51723474,0.7242475,1.877393,1.2520274,0.4304627,1.4662591,1.4640373,1.0316516,1.0492748,0.50843644,0.58660734
18,0.7398563,0.5151494,0.72638273,1.8753766,1.2495035,0.43076035,1.465051,1.458119,1.0307608,1.0456177,0.5071052,0.5874171
19,0.73701054,0.5132444,0.7287994,1.8776853,1.2520281,0.4304338,1.4672093,1.461852,1.0332131,1.0486943,0.5080995,0.58764803
20,0.73470604,0.5110922,0.7307888,1.8753482,1.2487935,0.43055463,1.4648224,1.4566933,1.0306348,1.0448221,0.5072448,0.5879189
